"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Deaths,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Lung and Bronchus","22030","Oregon","41","2021","2021","Female","F","Hispanic","2135-2",18,25127,89.7,51.0,145.4,22.6,71.6,42.5,113.2,16.9
,"Lung and Bronchus","22030","Oregon","41","2021","2021","Female","F","Non-Hispanic","2186-5",851,541549,165.9,154.8,177.6,5.8,157.1,146.8,168.1,5.4
,"Lung and Bronchus","22030","Oregon","41","2021","2021","Male","M","Non-Hispanic","2186-5",813,473126,190.2,177.0,204.2,6.9,171.8,160.2,184.1,6.0
,"Lung and Bronchus","22030","Oregon","41","2022","2022","Female","F","Non-Hispanic","2186-5",796,547234,153.1,142.6,164.2,5.5,145.5,135.5,155.9,5.2
,"Lung and Bronchus","22030","Oregon","41","2022","2022","Male","M","Hispanic","2135-2",18,26279,78.9,43.8,131.4,20.7,68.5,40.6,108.3,16.1
,"Lung and Bronchus","22030","Oregon","41","2022","2022","Male","M","Non-Hispanic","2186-5",775,476536,178.3,165.6,191.6,6.6,162.6,151.4,174.5,5.8
,"Lung and Bronchus","22030","Oregon","41","2023","2023","Female","F","Non-Hispanic","2186-5",745,553444,139.0,129.2,149.5,5.1,134.6,125.1,144.6,4.9
,"Lung and Bronchus","22030","Oregon","41","2023","2023","Male","M","Hispanic","2135-2",21,28008,113.2,68.1,175.8,26.1,75.0,46.4,114.6,16.4
,"Lung and Bronchus","22030","Oregon","41","2023","2023","Male","M","Non-Hispanic","2186-5",724,480552,163.9,151.9,176.5,6.2,150.7,139.9,162.0,5.6
,"Lung and Bronchus","22030","Pennsylvania","42","2018","2018","Female","F","Hispanic","2135-2",27,45662,67.5,43.8,99.4,13.4,59.1,39.0,86.0,11.4
,"Lung and Bronchus","22030","Pennsylvania","42","2018","2018","Female","F","Non-Hispanic","2186-5",2691,1726324,159.5,153.5,165.8,3.1,155.9,150.0,161.9,3.0
,"Lung and Bronchus","22030","Pennsylvania","42","2018","2018","Male","M","Hispanic","2135-2",47,38165,149.8,107.6,202.8,23.3,123.1,90.5,163.8,18.0
,"Lung and Bronchus","22030","Pennsylvania","42","2018","2018","Male","M","Non-Hispanic","2186-5",3201,1413515,249.4,240.7,258.3,4.5,226.5,218.7,234.4,4.0
,"Lung and Bronchus","22030","Pennsylvania","42","2019","2019","Female","F","Hispanic","2135-2",32,48534,73.3,49.5,104.6,13.4,65.9,45.1,93.1,11.7
,"Lung and Bronchus","22030","Pennsylvania","42","2019","2019","Female","F","Non-Hispanic","2186-5",2686,1757320,155.5,149.6,161.6,3.0,152.8,147.1,158.7,2.9
,"Lung and Bronchus","22030","Pennsylvania","42","2019","2019","Male","M","Hispanic","2135-2",45,40612,139.4,99.8,189.3,21.9,110.8,80.8,148.3,16.5
,"Lung and Bronchus","22030","Pennsylvania","42","2019","2019","Male","M","Non-Hispanic","2186-5",3017,1443114,229.9,221.6,238.4,4.3,209.1,201.7,216.7,3.8
,"Lung and Bronchus","22030","Pennsylvania","42","2020","2020","Female","F","Hispanic","2135-2",27,51814,62.6,40.7,91.9,12.4,52.1,34.3,75.8,10.0
,"Lung and Bronchus","22030","Pennsylvania","42","2020","2020","Female","F","Non-Hispanic","2186-5",2595,1758463,151.9,146.0,157.9,3.0,147.6,141.9,153.4,2.9
,"Lung and Bronchus","22030","Pennsylvania","42","2020","2020","Male","M","Hispanic","2135-2",40,44337,121.0,84.7,167.3,20.2,90.2,64.5,122.9,14.3
,"Lung and Bronchus","22030","Pennsylvania","42","2020","2020","Male","M","Non-Hispanic","2186-5",2976,1482877,225.2,217.0,233.6,4.2,200.7,193.5,208.0,3.7
,"Lung and Bronchus","22030","Pennsylvania","42","2021","2021","Female","F","Hispanic","2135-2",25,54757,49.3,31.2,74.1,10.3,45.7,29.5,67.4,9.1
,"Lung and Bronchus","22030","Pennsylvania","42","2021","2021","Female","F","Non-Hispanic","2186-5",2552,1781597,147.2,141.5,153.0,2.9,143.2,137.7,148.9,2.8
,"Lung and Bronchus","22030","Pennsylvania","42","2021","2021","Male","M","Hispanic","2135-2",48,46814,125.2,90.0,169.4,19.4,102.5,75.6,135.9,14.8
,"Lung and Bronchus","22030","Pennsylvania","42","2021","2021","Male","M","Non-Hispanic","2186-5",2872,1505179,213.6,205.7,221.8,4.1,190.8,183.9,197.9,3.6
,"Lung and Bronchus","22030","Pennsylvania","42","2022","2022","Female","F","Hispanic","2135-2",42,58174,83.3,59.3,113.6,13.3,72.2,52.0,97.6,11.1
,"Lung and Bronchus","22030","Pennsylvania","42","2022","2022","Female","F","Non-Hispanic","2186-5",2612,1802359,147.9,142.3,153.7,2.9,144.9,139.4,150.6,2.8
,"Lung and Bronchus","22030","Pennsylvania","42","2022","2022","Male","M","Hispanic","2135-2",42,49814,103.5,72.8,142.7,17.1,84.3,60.8,114.0,13.0
,"Lung and Bronchus","22030","Pennsylvania","42","2022","2022","Male","M","Non-Hispanic","2186-5",2875,1523702,209.2,201.5,217.2,4.0,188.7,181.9,195.7,3.5
,"Lung and Bronchus","22030","Pennsylvania","42","2023","2023","Female","F","Hispanic","2135-2",29,62059,56.1,37.0,81.2,10.7,46.7,31.3,67.1,8.7
,"Lung and Bronchus","22030","Pennsylvania","42","2023","2023","Female","F","Non-Hispanic","2186-5",2658,1826881,147.9,142.3,153.6,2.9,145.5,140.0,151.1,2.8
,"Lung and Bronchus","22030","Pennsylvania","42","2023","2023","Male","M","Hispanic","2135-2",46,53154,98.7,70.4,134.7,15.7,86.5,63.4,115.4,12.8
,"Lung and Bronchus","22030","Pennsylvania","42","2023","2023","Male","M","Non-Hispanic","2186-5",2801,1547707,196.2,188.8,203.7,3.8,181.0,174.3,187.8,3.4
,"Lung and Bronchus","22030","Rhode Island","44","2018","2018","Female","F","Non-Hispanic","2186-5",233,132581,177.9,155.2,202.9,11.9,175.7,153.9,199.8,11.5
,"Lung and Bronchus","22030","Rhode Island","44","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2018","2018","Male","M","Non-Hispanic","2186-5",230,106573,235.2,205.1,268.3,15.8,215.8,188.8,245.6,14.2
,"Lung and Bronchus","22030","Rhode Island","44","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2019","2019","Female","F","Non-Hispanic","2186-5",242,135046,185.7,162.5,211.2,12.2,179.2,157.3,203.3,11.5
,"Lung and Bronchus","22030","Rhode Island","44","2019","2019","Male","M","Non-Hispanic","2186-5",210,108990,213.4,184.9,244.9,15.0,192.7,167.5,220.6,13.3
,"Lung and Bronchus","22030","Rhode Island","44","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2020","2020","Female","F","Non-Hispanic","2186-5",233,138250,174.7,152.6,199.0,11.6,168.5,147.6,191.6,11.0
,"Lung and Bronchus","22030","Rhode Island","44","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2020","2020","Male","M","Non-Hispanic","2186-5",234,114605,232.9,203.3,265.6,15.6,204.2,178.9,232.1,13.3
,"Lung and Bronchus","22030","Rhode Island","44","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2021","2021","Female","F","Non-Hispanic","2186-5",198,140916,148.1,127.9,170.5,10.7,140.5,121.6,161.5,10.0
,"Lung and Bronchus","22030","Rhode Island","44","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2021","2021","Male","M","Non-Hispanic","2186-5",201,117014,197.3,170.2,227.3,14.3,171.8,148.8,197.2,12.1
,"Lung and Bronchus","22030","Rhode Island","44","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2022","2022","Female","F","Non-Hispanic","2186-5",212,143139,151.7,131.8,173.7,10.5,148.1,128.8,169.4,10.2
,"Lung and Bronchus","22030","Rhode Island","44","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2022","2022","Male","M","Non-Hispanic","2186-5",214,119255,205.6,178.2,235.8,14.4,179.4,156.2,205.2,12.3
,"Lung and Bronchus","22030","Rhode Island","44","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Rhode Island","44","2023","2023","Female","F","Non-Hispanic","2186-5",209,145298,145.6,126.4,166.8,10.1,143.8,125.0,164.7,9.9
,"Lung and Bronchus","22030","Rhode Island","44","2023","2023","Male","M","Non-Hispanic","2186-5",203,121562,180.0,155.6,207.2,12.9,167.0,144.8,191.6,11.7
,"Lung and Bronchus","22030","South Carolina","45","2018","2018","Female","F","Non-Hispanic","2186-5",981,667435,154.9,145.2,165.0,5.0,147.0,137.9,156.5,4.7
,"Lung and Bronchus","22030","South Carolina","45","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2018","2018","Male","M","Non-Hispanic","2186-5",1286,545417,257.3,242.9,272.2,7.4,235.8,223.1,249.0,6.6
,"Lung and Bronchus","22030","South Carolina","45","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2019","2019","Female","F","Non-Hispanic","2186-5",980,690244,149.5,140.2,159.3,4.8,142.0,133.2,151.2,4.5
,"Lung and Bronchus","22030","South Carolina","45","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2019","2019","Male","M","Non-Hispanic","2186-5",1316,563806,253.5,239.6,268.0,7.2,233.4,221.0,246.4,6.4
,"Lung and Bronchus","22030","South Carolina","45","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2020","2020","Female","F","Non-Hispanic","2186-5",996,677256,154.3,144.7,164.3,5.0,147.1,138.1,156.5,4.7
,"Lung and Bronchus","22030","South Carolina","45","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2020","2020","Male","M","Non-Hispanic","2186-5",1327,564052,257.5,243.3,272.3,7.3,235.3,222.8,248.3,6.5
,"Lung and Bronchus","22030","South Carolina","45","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2021","2021","Female","F","Non-Hispanic","2186-5",1013,696778,154.7,145.2,164.6,4.9,145.4,136.6,154.6,4.6
,"Lung and Bronchus","22030","South Carolina","45","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2021","2021","Male","M","Non-Hispanic","2186-5",1283,579624,244.1,230.4,258.4,7.1,221.4,209.4,233.8,6.2
,"Lung and Bronchus","22030","South Carolina","45","2022","2022","Female","F","Non-Hispanic","2186-5",1020,719601,147.9,138.9,157.4,4.7,141.7,133.2,150.7,4.4
,"Lung and Bronchus","22030","South Carolina","45","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2022","2022","Male","M","Non-Hispanic","2186-5",1238,598117,229.9,216.8,243.7,6.8,207.0,195.6,218.8,5.9
,"Lung and Bronchus","22030","South Carolina","45","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2023","2023","Female","F","Non-Hispanic","2186-5",1042,743211,146.3,137.5,155.5,4.6,140.2,131.8,149.0,4.3
,"Lung and Bronchus","22030","South Carolina","45","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Carolina","45","2023","2023","Male","M","Non-Hispanic","2186-5",1218,617937,212.3,200.2,225.0,6.3,197.1,186.2,208.5,5.6
,"Lung and Bronchus","22030","South Carolina","45","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2018","2018","Female","F","Hispanic","2135-2",0,1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2018","2018","Female","F","Non-Hispanic","2186-5",160,106431,159.8,135.4,187.1,12.9,150.3,127.9,175.5,11.9
,"Lung and Bronchus","22030","South Dakota","46","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2018","2018","Male","M","Hispanic","2135-2",0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2018","2018","Male","M","Non-Hispanic","2186-5",188,95655,222.7,191.2,257.8,16.7,196.5,169.4,226.7,14.3
,"Lung and Bronchus","22030","South Dakota","46","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2019","2019","Female","F","Hispanic","2135-2",0,1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2019","2019","Female","F","Non-Hispanic","2186-5",201,109606,192.5,166.3,221.8,13.9,183.4,158.9,210.6,12.9
,"Lung and Bronchus","22030","South Dakota","46","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2019","2019","Male","M","Non-Hispanic","2186-5",191,98714,218.1,187.5,252.3,16.2,193.5,167.0,223.0,14.0
,"Lung and Bronchus","22030","South Dakota","46","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2020","2020","Female","F","Non-Hispanic","2186-5",166,109614,161.4,137.3,188.5,12.8,151.4,129.3,176.3,11.8
,"Lung and Bronchus","22030","South Dakota","46","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2020","2020","Male","M","Non-Hispanic","2186-5",162,101274,186.5,158.0,218.6,15.1,160.0,136.3,186.6,12.6
,"Lung and Bronchus","22030","South Dakota","46","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2021","2021","Female","F","Hispanic","2135-2",0,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2021","2021","Female","F","Non-Hispanic","2186-5",151,112080,148.8,125.5,175.0,12.4,134.7,114.1,158.0,11.0
,"Lung and Bronchus","22030","South Dakota","46","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2021","2021","Male","M","Non-Hispanic","2186-5",201,103528,230.3,198.4,265.8,16.9,194.2,168.2,222.9,13.7
,"Lung and Bronchus","22030","South Dakota","46","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2022","2022","Female","F","Non-Hispanic","2186-5",188,115030,174.6,150.1,201.9,13.0,163.4,140.9,188.5,11.9
,"Lung and Bronchus","22030","South Dakota","46","2022","2022","Male","M","Hispanic","2135-2",0,1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2022","2022","Male","M","Non-Hispanic","2186-5",172,106778,180.7,153.7,211.1,14.4,161.1,137.9,187.0,12.3
,"Lung and Bronchus","22030","South Dakota","46","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2023","2023","Female","F","Hispanic","2135-2",0,1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2023","2023","Female","F","Non-Hispanic","2186-5",170,117548,150.6,128.5,175.4,11.7,144.6,123.7,168.1,11.1
,"Lung and Bronchus","22030","South Dakota","46","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","South Dakota","46","2023","2023","Male","M","Hispanic","2135-2",0,1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Lung and Bronchus","22030","South Dakota","46","2023","2023","Male","M","Non-Hispanic","2186-5",178,109415,192.2,164.0,223.7,14.9,162.7,139.7,188.4,12.2
,"Lung and Bronchus","22030","South Dakota","46","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Tennessee","47","2018","2018","Female","F","Non-Hispanic","2186-5",1463,832792,183.2,173.9,192.9,4.8,175.7,166.8,184.9,4.6
,"Lung and Bronchus","22030","Tennessee","47","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Tennessee","47","2018","2018","Male","M","Non-Hispanic","2186-5",1810,681499,286.1,272.7,300.0,6.9,265.6,253.5,278.1,6.2
,"Lung and Bronchus","22030","Tennessee","47","2019","2019","Female","F","Non-Hispanic","2186-5",1496,853858,181.3,172.1,190.8,4.7,175.2,166.4,184.3,4.5
,"Lung and Bronchus","22030","Tennessee","47","2019","2019","Male","M","Non-Hispanic","2186-5",1924,699580,297.1,283.6,311.1,7.0,275.0,262.9,287.6,6.3
,"Lung and Bronchus","22030","Tennessee","47","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Tennessee","47","2020","2020","Female","F","Non-Hispanic","2186-5",1522,845507,189.3,179.9,199.2,4.9,180.0,171.1,189.3,4.6
,"Lung and Bronchus","22030","Tennessee","47","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Tennessee","47","2020","2020","Male","M","Non-Hispanic","2186-5",1854,709233,287.8,274.4,301.8,6.9,261.4,249.6,273.6,6.1
,"Lung and Bronchus","22030","Tennessee","47","2021","2021","Female","F","Non-Hispanic","2186-5",1610,861845,196.1,186.5,206.0,4.9,186.8,177.8,196.2,4.7
,"Lung and Bronchus","22030","Tennessee","47","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Tennessee","47","2021","2021","Male","M","Non-Hispanic","2186-5",1788,722651,275.1,262.0,288.7,6.8,247.4,236.1,259.2,5.9
,"Lung and Bronchus","22030","Tennessee","47","2022","2022","Female","F","Non-Hispanic","2186-5",1533,880246,181.3,172.3,190.7,4.7,174.2,165.5,183.1,4.4
,"Lung and Bronchus","22030","Tennessee","47","2022","2022","Male","M","Non-Hispanic","2186-5",1856,738110,275.0,262.2,288.3,6.6,251.5,240.1,263.2,5.8
,"Lung and Bronchus","22030","Tennessee","47","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Tennessee","47","2023","2023","Female","F","Non-Hispanic","2186-5",1612,900640,184.7,175.7,194.0,4.6,179.0,170.4,187.9,4.5
,"Lung and Bronchus","22030","Tennessee","47","2023","2023","Male","M","Non-Hispanic","2186-5",1818,756084,261.1,248.9,273.9,6.3,240.4,229.5,251.8,5.6
,"Lung and Bronchus","22030","Tennessee","47","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lung and Bronchus","22030","Texas","48","2018","2018","Female","F","Hispanic","2135-2",314,672220,53.2,47.4,59.5,3.1,46.7,41.7,52.2,2.6
,"Lung and Bronchus","22030","Texas","48","2018","2018","Female","F","Non-Hispanic","2186-5",2978,2103096,150.5,145.1,156.1,2.8,141.6,136.6,146.8,2.6
,"Lung and Bronchus","22030","Texas","48","2018","2018","Male","M","Hispanic","2135-2",529,558264,118.4,108.1,129.4,5.4,94.8,86.9,103.2,4.1
,"Lung and Bronchus","22030","Texas","48","2018","2018","Male","M","Non-Hispanic","2186-5",3717,1772109,234.0,226.4,241.9,3.9,209.8,203.1,216.6,3.4
,"Lung and Bronchus","22030","Texas","48","2019","2019","Female","F","Hispanic","2135-2",327,703516,52.7,47.1,58.9,3.0,46.5,41.6,51.8,2.6
,"Lung and Bronchus","22030","Texas","48","2019","2019","Female","F","Non-Hispanic","2186-5",3011,2160917,148.1,142.8,153.6,2.7,139.3,134.4,144.4,2.5
,"Lung and Bronchus","22030","Texas","48","2019","2019","Male","M","Hispanic","2135-2",580,587815,124.3,113.9,135.3,5.4,98.7,90.8,107.0,4.1
,"Lung and Bronchus","22030","Texas","48","2019","2019","Male","M","Non-Hispanic","2186-5",3785,1824205,228.5,221.0,236.0,3.8,207.5,200.9,214.2,3.4
,"Lung and Bronchus","22030","Texas","48","2020","2020","Female","F","Hispanic","2135-2",366,708271,61.0,54.8,67.7,3.3,51.7,46.5,57.3,2.7
,"Lung and Bronchus","22030","Texas","48","2020","2020","Female","F","Non-Hispanic","2186-5",3095,2172902,151.6,146.3,157.1,2.8,142.4,137.5,147.5,2.6
,"Lung and Bronchus","22030","Texas","48","2020","2020","Male","M","Hispanic","2135-2",550,608470,114.2,104.3,124.7,5.2,90.4,83.0,98.3,3.9
,"Lung and Bronchus","22030","Texas","48","2020","2020","Male","M","Non-Hispanic","2186-5",3789,1873876,229.7,222.2,237.4,3.9,202.2,195.8,208.7,3.3
,"Lung and Bronchus","22030","Texas","48","2021","2021","Female","F","Hispanic","2135-2",349,735569,54.6,48.9,60.8,3.0,47.4,42.6,52.7,2.5
,"Lung and Bronchus","22030","Texas","48","2021","2021","Female","F","Non-Hispanic","2186-5",3111,2221363,149.8,144.5,155.2,2.7,140.0,135.2,145.1,2.5
,"Lung and Bronchus","22030","Texas","48","2021","2021","Male","M","Hispanic","2135-2",515,632418,107.3,97.6,117.6,5.0,81.4,74.6,88.8,3.6
,"Lung and Bronchus","22030","Texas","48","2021","2021","Male","M","Non-Hispanic","2186-5",3525,1914002,208.2,201.1,215.4,3.6,184.2,178.1,190.4,3.1
,"Lung and Bronchus","22030","Texas","48","2022","2022","Female","F","Hispanic","2135-2",355,768689,53.7,48.1,59.7,2.9,46.2,41.5,51.2,2.5
,"Lung and Bronchus","22030","Texas","48","2022","2022","Female","F","Non-Hispanic","2186-5",3032,2277216,141.0,135.9,146.1,2.6,133.1,128.4,138.0,2.4
,"Lung and Bronchus","22030","Texas","48","2022","2022","Male","M","Hispanic","2135-2",580,662892,112.5,103.0,122.7,5.0,87.5,80.5,94.9,3.6
,"Lung and Bronchus","22030","Texas","48","2022","2022","Male","M","Non-Hispanic","2186-5",3457,1959482,199.2,192.4,206.1,3.5,176.4,170.6,182.4,3.0
,"Lung and Bronchus","22030","Texas","48","2023","2023","Female","F","Hispanic","2135-2",355,804520,50.9,45.7,56.6,2.8,44.1,39.7,49.0,2.3
,"Lung and Bronchus","22030","Texas","48","2023","2023","Female","F","Non-Hispanic","2186-5",3135,2331706,140.8,135.9,145.9,2.5,134.5,129.8,139.2,2.4
,"Lung and Bronchus","22030","Texas","48","2023","2023","Male","M","Hispanic","2135-2",590,696715,109.6,100.4,119.4,4.8,84.7,78.0,91.8,3.5
,"Lung and Bronchus","22030","Texas","48","2023","2023","Male","M","Non-Hispanic","2186-5",3571,2007900,198.1,191.4,204.9,3.4,177.8,172.1,183.8,3.0
,"Lung and Bronchus","22030","Utah","49","2018","2018","Female","F","Non-Hispanic","2186-5",153,243464,68.9,58.3,80.8,5.6,62.8,53.3,73.6,5.1
